broker, client, sent, received, qos
172.17.0.3, b'subThread-1-hjtzmx', 1599738192958758251, 1599738192990
172.17.0.3, b'subThread-1-hjtzmx', 1599738192972534445, 1599738193998
172.17.0.3, b'subThread-1-hjtzmx', 1599738193973815491, 1599738194998
172.17.0.3, b'subThread-1-hjtzmx', 1599738194974954301, 1599738196016
172.17.0.3, b'subThread-1-hjtzmx', 1599738195977179463, 1599738197003
172.17.0.3, b'subThread-1-hjtzmx', 1599738196978694704, 1599738198002
172.17.0.3, b'subThread-1-hjtzmx', 1599738197980324234, 1599738199007
172.17.0.3, b'subThread-1-hjtzmx', 1599738198982085294, 1599738200010
172.17.0.3, b'subThread-1-hjtzmx', 1599738199986531123, 1599738201004
172.17.0.3, b'subThread-1-hjtzmx', 1599738200987467840, 1599738202006
172.17.0.3, b'subThread-1-hjtzmx', 1599738201988474966, 1599738203029
172.17.0.3, b'subThread-1-hjtzmx', 1599738202989624809, 1599738204003
172.17.0.3, b'subThread-1-hjtzmx', 1599738203991046990, 1599738205010
172.17.0.3, b'subThread-1-hjtzmx', 1599738204992620453, 1599738206021
172.17.0.3, b'subThread-1-hjtzmx', 1599738205993292764, 1599738207029
172.17.0.3, b'subThread-1-hjtzmx', 1599738206994445617, 1599738208007
172.17.0.3, b'subThread-1-hjtzmx', 1599738207995650696, 1599738209009
172.17.0.3, b'subThread-1-hjtzmx', 1599738208996769705, 1599738210016
172.17.0.3, b'subThread-1-hjtzmx', 1599738209997940901, 1599738211021
172.17.0.3, b'subThread-1-hjtzmx', 1599738210998756920, 1599738212018
172.17.0.3, b'subThread-1-hjtzmx', 1599738211999556797, 1599738213018
172.17.0.3, b'subThread-1-hjtzmx', 1599738213000646778, 1599738214019
172.17.0.3, b'subThread-1-hjtzmx', 1599738214001686540, 1599738215025
172.17.0.3, b'subThread-1-hjtzmx', 1599738215002478139, 1599738216023
172.17.0.3, b'subThread-1-hjtzmx', 1599738216005712287, 1599738217024
172.17.0.3, b'subThread-1-hjtzmx', 1599738217006365869, 1599738218024
172.17.0.3, b'subThread-1-hjtzmx', 1599738218007417960, 1599738219037
172.17.0.3, b'subThread-1-hjtzmx', 1599738219014259795, 1599738220039
172.17.0.3, b'subThread-1-hjtzmx', 1599738220015540787, 1599738221170
172.17.0.3, b'subThread-1-hjtzmx', 1599738221020758263, 1599738222072
172.17.0.3, b'subThread-1-hjtzmx', 1599738222023107315, 1599738223074
172.17.0.3, b'subThread-1-hjtzmx', 1599738223024269931, 1599738224124
172.17.0.3, b'subThread-1-hjtzmx', 1599738224026093328, 1599738225167
172.17.0.3, b'subThread-1-hjtzmx', 1599738225071499029, 1599738226087
172.17.0.3, b'subThread-1-hjtzmx', 1599738226075646005, 1599738227089
172.17.0.3, b'subThread-1-hjtzmx', 1599738227076522705, 1599738228167
172.17.0.3, b'subThread-1-hjtzmx', 1599738228077479288, 1599738229218
172.17.0.3, b'subThread-1-hjtzmx', 1599738229078736488, 1599738230168
172.17.0.3, b'subThread-1-hjtzmx', 1599738230122605215, 1599738231220
172.17.0.3, b'subThread-1-hjtzmx', 1599738231124344153, 1599738232274
