broker, client, conn, connack
172.17.0.3, b'subThread-8-rzduey', 13:02:57.455, 13:02:57.716
172.17.0.3, b'subThread-3-ioovri', 13:02:57.397, 13:02:57.431
172.17.0.3, b'subThread-10-lwqsvc', 13:02:57.559, 13:02:58.103
172.17.0.3, b'subThread-9-jjfjaq', 13:02:57.630, 13:02:58.082
172.17.0.3, b'subThread-1-qidlkw', 13:02:57.396, 13:02:57.547
172.17.0.3, b'subThread-4-jlpwyy', 13:02:57.404, 13:02:57.683
172.17.0.3, b'subThread-7-yorlyk', 13:02:57.431, 13:02:57.558
172.17.0.3, b'subThread-5-nsuwnk', 13:02:57.430, 13:02:57.804
172.17.0.3, b'subThread-2-wkbrkb', 13:02:57.396, 13:02:57.416
172.17.0.3, b'subThread-6-apqwro', 13:02:57.424, 13:02:57.954
