broker, client, conn, connack
172.17.0.3, b'subThread-3-vikkek', 13:00:28.701, 13:00:28.724
172.17.0.3, b'subThread-10-qyewql', 13:00:28.911, 13:00:29.198
172.17.0.3, b'subThread-8-dlebbb', 13:00:28.770, 13:00:28.826
172.17.0.3, b'subThread-5-bfucfe', 13:00:28.700, 13:00:28.987
172.17.0.3, b'subThread-9-hsfxxr', 13:00:28.894, 13:00:29.238
172.17.0.3, b'subThread-6-cxulre', 13:00:28.702, 13:00:28.769
172.17.0.3, b'subThread-4-hgqjmp', 13:00:28.699, 13:00:28.799
172.17.0.3, b'subThread-2-dlzcbw', 13:00:28.695, 13:00:28.787
172.17.0.3, b'subThread-7-gbucnz', 13:00:28.725, 13:00:29.377
172.17.0.3, b'subThread-1-llmpjv', 13:00:28.698, 13:00:28.776
