broker, client, conn, connack
172.17.0.3, b'subThread-7-zvvmmr', 13:11:57.326, 13:11:57.674
172.17.0.3, b'subThread-8-pxpqpx', 13:11:57.304, 13:11:57.701
172.17.0.3, b'subThread-10-ylyfvk', 13:11:58.024, 13:11:58.213
172.17.0.3, b'subThread-9-aaxgqw', 13:11:57.729, 13:11:57.844
172.17.0.3, b'subThread-4-jhzemx', 13:11:57.163, 13:11:57.213
172.17.0.3, b'subThread-2-lgeftj', 13:11:57.164, 13:11:57.326
172.17.0.3, b'subThread-1-jymoqq', 13:11:57.162, 13:11:57.179
172.17.0.3, b'subThread-6-uxujpl', 13:11:57.276, 13:11:57.479
172.17.0.3, b'subThread-3-ofgnen', 13:11:57.164, 13:11:57.241
172.17.0.3, b'subThread-5-otbwpk', 13:11:57.173, 13:11:57.235
